exposure_id,customer_id,exposure_time,campaign_type,coupon_cost
14576147_offer_151,14576147,2013-04-02 11:54:00,TypeA,7500
16203579_offer_151,16203579,2013-03-25 10:46:00,TypeA,7500
18938874_offer_151,18938874,2013-03-26 11:13:00,TypeA,7500
50622160_offer_151,50622160,2013-03-31 10:44:00,TypeA,7500
52598384_offer_151,52598384,2013-03-25 11:43:00,TypeA,7500
55431649_offer_151,55431649,2013-03-26 09:02:00,TypeA,7500
59585609_offer_151,59585609,2013-04-24 10:07:00,TypeA,7500
65519775_offer_151,65519775,2013-04-28 10:35:00,TypeB,20000
67317718_offer_151,67317718,2013-03-29 09:35:00,TypeA,7500
70312933_offer_151,70312933,2013-03-27 09:18:00,TypeA,7500
77801039_offer_151,77801039,2013-04-17 10:39:00,TypeA,7500
78533743_offer_151,78533743,2013-03-29 09:14:00,TypeA,7500
78774376_offer_151,78774376,2013-03-25 09:10:00,TypeA,7500
79296732_offer_151,79296732,2013-03-31 11:43:00,TypeA,7500
80503859_offer_151,80503859,2013-03-29 09:51:00,TypeA,7500
81127950_offer_151,81127950,2013-03-25 09:52:00,TypeA,7500
82599973_offer_151,82599973,2013-04-12 11:32:00,TypeB,15000
82765230_offer_151,82765230,2013-03-29 10:37:00,TypeA,7500
85287702_offer_151,85287702,2013-03-26 10:38:00,TypeA,7500
88100026_offer_151,88100026,2013-03-26 09:12:00,TypeA,7500
90548180_offer_151,90548180,2013-04-23 11:49:00,TypeB,20000
90675707_offer_151,90675707,2013-03-26 10:59:00,TypeA,7500
94315295_offer_151,94315295,2013-03-29 09:13:00,TypeA,7500
96862813_offer_151,96862813,2013-03-25 09:07:00,TypeA,7500
97167859_offer_151,97167859,2013-04-02 11:23:00,TypeA,7500
97293086_offer_151,97293086,2013-03-25 10:04:00,TypeA,7500
97466869_offer_151,97466869,2013-03-26 09:48:00,TypeA,7500
97569740_offer_151,97569740,2013-04-26 09:22:00,TypeB,20000
97984848_offer_151,97984848,2013-04-04 11:11:00,TypeA,10000
98075215_offer_151,98075215,2013-03-28 11:50:00,TypeA,7500
98202210_offer_151,98202210,2013-03-26 11:26:00,TypeA,7500
98411638_offer_151,98411638,2013-04-18 09:14:00,TypeA,7500
98776344_offer_151,98776344,2013-03-25 10:14:00,TypeA,7500
98948079_offer_151,98948079,2013-03-30 09:31:00,TypeB,12500
99056555_offer_151,99056555,2013-03-29 09:54:00,TypeA,7500
99088826_offer_151,99088826,2013-04-03 10:28:00,TypeA,7500
99155110_offer_151,99155110,2013-03-27 11:23:00,TypeA,7500
99644579_offer_151,99644579,2013-03-25 11:44:00,TypeA,7500
99646260_offer_151,99646260,2013-04-23 09:06:00,TypeB,20000
