customer_id,treatment_group,treatment_flag,campaign_type,coupon_cost,assigned_at,exposure_count,redeemed_campaigns,coupon_redeem_count_total,treatment_lift_base
14576147,contacted,1,TypeA,7500,2013-04-02 11:54:00,1,0,0,0.018746
16203579,contacted,1,TypeA,7500,2013-03-25 10:46:00,1,1,2,0.166307
18938874,contacted,1,TypeA,7500,2013-03-26 11:13:00,1,0,0,0.022179
50622160,contacted,1,TypeA,7500,2013-03-31 10:44:00,1,0,0,0.018086
52598384,contacted,1,TypeA,7500,2013-03-25 11:43:00,1,1,1,0.180325
55431649,contacted,1,TypeA,7500,2013-03-26 09:02:00,1,0,0,0.019364
59585609,contacted,1,TypeA,7500,2013-04-24 10:07:00,1,0,0,0.01968
65519775,contacted,1,TypeB,20000,2013-04-28 10:35:00,1,0,0,-0.035592
67317718,contacted,1,TypeA,7500,2013-03-29 09:35:00,1,0,0,0.021613
70312933,contacted,1,TypeA,7500,2013-03-27 09:18:00,1,0,0,0.020526
77801039,contacted,1,TypeA,7500,2013-04-17 10:39:00,1,0,0,0.018273
78533743,contacted,1,TypeA,7500,2013-03-29 09:14:00,1,0,0,0.01982
78774376,contacted,1,TypeA,7500,2013-03-25 09:10:00,1,0,0,0.012014
79296732,contacted,1,TypeA,7500,2013-03-31 11:43:00,1,0,0,0.021976
80503859,contacted,1,TypeA,7500,2013-03-29 09:51:00,1,0,0,0.020534
81127950,contacted,1,TypeA,7500,2013-03-25 09:52:00,1,0,0,0.01484
82599973,contacted,1,TypeB,15000,2013-04-12 11:32:00,1,0,0,-0.0118
82765230,contacted,1,TypeA,7500,2013-03-29 10:37:00,1,0,0,0.018741
85287702,contacted,1,TypeA,7500,2013-03-26 10:38:00,1,0,0,0.023074
88100026,contacted,1,TypeA,7500,2013-03-26 09:12:00,1,0,0,0.013673
90548180,contacted,1,TypeB,20000,2013-04-23 11:49:00,1,1,2,0.120353
90675707,contacted,1,TypeA,7500,2013-03-26 10:59:00,1,0,0,0.019978
94315295,contacted,1,TypeA,7500,2013-03-29 09:13:00,1,0,0,0.020201
96862813,contacted,1,TypeA,7500,2013-03-25 09:07:00,1,0,0,0.016211
97167859,contacted,1,TypeA,7500,2013-04-02 11:23:00,1,1,1,0.178015
97293086,contacted,1,TypeA,7500,2013-03-25 10:04:00,1,1,2,0.1806
97466869,contacted,1,TypeA,7500,2013-03-26 09:48:00,1,0,0,0.019219
97569740,contacted,1,TypeB,20000,2013-04-26 09:22:00,1,0,0,-0.034909
97984848,contacted,1,TypeA,10000,2013-04-04 11:11:00,1,0,0,0.008303
98075215,contacted,1,TypeA,7500,2013-03-28 11:50:00,1,0,0,0.021089
98202210,contacted,1,TypeA,7500,2013-03-26 11:26:00,1,0,0,0.018805
98411638,contacted,1,TypeA,7500,2013-04-18 09:14:00,1,0,0,0.01954
98776344,contacted,1,TypeA,7500,2013-03-25 10:14:00,1,0,0,0.023417
98948079,contacted,1,TypeB,12500,2013-03-30 09:31:00,1,0,0,-0.000207
99056555,contacted,1,TypeA,7500,2013-03-29 09:54:00,1,1,1,0.177018
99088826,contacted,1,TypeA,7500,2013-04-03 10:28:00,1,1,1,0.176228
99155110,contacted,1,TypeA,7500,2013-03-27 11:23:00,1,1,1,0.181663
99644579,contacted,1,TypeA,7500,2013-03-25 11:44:00,1,0,0,0.019628
99646260,contacted,1,TypeB,20000,2013-04-23 09:06:00,1,1,3,0.120778
99782855,contacted,1,TypeA,7500,2013-03-28 10:43:00,1,0,0,0.016463
99814147,contacted,1,TypeA,7500,2013-03-28 09:19:00,1,0,0,0.018497
100453554,contacted,1,TypeA,7500,2013-03-28 09:05:00,1,0,0,0.018047
