seed,scenario_family,decision_date,budget,policy_kind,latency_days,policy_value,fresh_policy_value,stale_regret,relative_loss,target_overlap,missed_at_risk,window_miss_rate,selected_customers,partial_reopt_policy_value,partial_reopt_stale_regret,partial_reopt_regret_recovery_ratio,partial_reopt_full_refresh_value_ratio,partial_reopt_optimization_call_ratio
151,complaint-heavy,2012-05-30,2760000,base-stale,0,1626121.632447,1626121.632447,0.0,0.0,1.0,0.0,0.0,411,1626121.632447,0.0,0.0,1.0,0.0001
151,complaint-heavy,2012-05-30,5480000,base-stale,0,3135744.97344,3135744.97344,0.0,0.0,1.0,0.0,0.0,788,3135744.97344,0.0,0.0,1.0,0.0001
151,complaint-heavy,2012-05-30,7550000,base-stale,0,4286443.573583,4286443.573583,0.0,0.0,1.0,0.0,0.0,1091,4286443.573583,0.0,0.0,1.0,0.0001
151,complaint-heavy,2012-05-30,2760000,base-stale,1,1622248.026062,1626121.632447,3873.606385,0.002382,0.92944,0.073418,0.0,410,1622813.148861,3308.483586,0.145891,0.997965,0.0244
151,complaint-heavy,2012-05-30,5480000,base-stale,1,3124441.468181,3135744.97344,11303.505259,0.003605,0.941624,0.049798,0.0,791,3126393.304053,9351.669387,0.172675,0.997018,0.0244
151,complaint-heavy,2012-05-30,7550000,base-stale,1,4276788.715757,4286443.573583,9654.857826,0.002252,0.942255,0.051,0.0,1095,4277199.893826,9243.679757,0.042588,0.997844,0.0244
151,complaint-heavy,2012-05-30,2760000,base-stale,3,1619211.997589,1626121.632447,6909.634858,0.004249,0.919708,0.081013,0.002433,411,1622699.73998,3421.892467,0.504765,0.997896,0.0276
151,complaint-heavy,2012-05-30,2760000,stronger-but-stale,3,1604673.705312,1626121.632447,21447.927135,0.01319,0.768856,0.227848,0.004914,407,,,,,
151,complaint-heavy,2012-05-30,2760000,weaker-but-fresh,0,1685091.226087,1626121.632447,-58969.59364,-0.036264,0.554745,0.463291,0.0,444,,,,,
151,complaint-heavy,2012-05-30,5480000,base-stale,3,3119769.041589,3135744.97344,15975.931851,0.005095,0.93401,0.057873,0.001267,789,3123543.828022,12201.145418,0.23628,0.996109,0.0276
151,complaint-heavy,2012-05-30,5480000,stronger-but-stale,3,3119072.793372,3135744.97344,16672.180068,0.005317,0.800761,0.193809,0.002506,798,,,,,
151,complaint-heavy,2012-05-30,5480000,weaker-but-fresh,0,3226115.607952,3135744.97344,-90370.634512,-0.02882,0.558376,0.462988,0.0,867,,,,,
151,complaint-heavy,2012-05-30,7550000,base-stale,3,4273985.546894,4286443.573583,12458.026689,0.002906,0.938588,0.057,0.000912,1097,4278726.856528,7716.717055,0.380583,0.9982,0.0276
151,complaint-heavy,2012-05-30,7550000,stronger-but-stale,3,4262359.224001,4286443.573583,24084.349582,0.005619,0.810266,0.17,0.001826,1095,,,,,
151,complaint-heavy,2012-05-30,7550000,weaker-but-fresh,0,4373281.036247,4286443.573583,-86837.462664,-0.020259,0.619615,0.407,0.0,1174,,,,,
151,complaint-heavy,2012-05-30,2760000,base-stale,7,1619832.098123,1626121.632447,6289.534324,0.003868,0.89781,0.103797,0.007282,412,1621324.563835,4797.068612,0.237294,0.99705,0.0328
151,complaint-heavy,2012-05-30,5480000,base-stale,7,3121090.347457,3135744.97344,14654.625983,0.004673,0.923858,0.067295,0.003802,789,3126081.869134,9663.104306,0.340611,0.996918,0.0328
151,complaint-heavy,2012-05-30,7550000,base-stale,7,4271101.778236,4286443.573583,15341.795347,0.003579,0.928506,0.064,0.002742,1094,4272275.726674,14167.846909,0.07652,0.996695,0.0328
151,complaint-heavy,2012-05-30,2760000,full-refresh,0,1626121.632447,1626121.632447,0.0,0.0,1.0,0.0,0.0,411,1626121.632447,0.0,1.0,1.0,1.0
151,complaint-heavy,2012-05-30,5480000,full-refresh,0,3135744.97344,3135744.97344,0.0,0.0,1.0,0.0,0.0,788,3135744.97344,0.0,1.0,1.0,1.0
151,complaint-heavy,2012-05-30,7550000,full-refresh,0,4286443.573583,4286443.573583,0.0,0.0,1.0,0.0,0.0,1091,4286443.573583,0.0,1.0,1.0,1.0
