scenario_family,budget,policy_kind,latency_days,block_count,policy_value_mean,policy_value_ci_low,policy_value_ci_high,stale_regret_mean,stale_regret_ci_low,stale_regret_ci_high,relative_loss_mean,relative_loss_ci_low,relative_loss_ci_high,target_overlap_mean,target_overlap_ci_low,target_overlap_ci_high,missed_at_risk_mean,missed_at_risk_ci_low,missed_at_risk_ci_high,window_miss_rate_mean,window_miss_rate_ci_low,window_miss_rate_ci_high,selected_customers_mean,selected_customers_ci_low,selected_customers_ci_high,partial_reopt_optimization_call_ratio_mean,partial_reopt_optimization_call_ratio_ci_low,partial_reopt_optimization_call_ratio_ci_high,partial_reopt_regret_recovery_ratio_mean,partial_reopt_regret_recovery_ratio_ci_low,partial_reopt_regret_recovery_ratio_ci_high,partial_reopt_full_refresh_value_ratio_mean,partial_reopt_full_refresh_value_ratio_ci_low,partial_reopt_full_refresh_value_ratio_ci_high
complaint-heavy,2760000,base-stale,0,16,1796156.458559,1768499.787051,1821340.58317,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,476.3125,466.404688,484.532812,8.1e-05,3.1e-05,0.000125,0.0,0.0,0.0,1.0,1.0,1.0
complaint-heavy,2760000,base-stale,1,16,1780799.981456,1747751.670067,1805505.417885,15356.477103,10976.573938,20532.047168,0.008473,0.005948,0.01097,0.921857,0.917429,0.925593,0.078537,0.073447,0.084004,0.0,0.0,0.0,470.3125,459.684375,476.315625,0.028963,0.027813,0.03008,0.682289,0.24205,1.178175,0.997227,0.99584,0.998498
complaint-heavy,2760000,base-stale,3,16,1778392.623616,1744360.821709,1804102.441819,17763.834943,13624.35668,22110.660609,0.009817,0.007521,0.011874,0.907338,0.902061,0.913084,0.090565,0.084488,0.096902,0.000544,0.00013,0.00098,469.875,460.55625,477.06875,0.030769,0.029933,0.031485,0.513467,0.219678,0.715474,0.996285,0.9949,0.997641
complaint-heavy,2760000,base-stale,7,16,1775865.308022,1745029.799623,1799246.133857,20291.150537,16291.955479,23919.587821,0.01123,0.009395,0.013066,0.888571,0.883104,0.89378,0.108012,0.101242,0.115514,0.001519,0.000531,0.002726,469.1875,460.029688,477.125,0.033287,0.03249,0.034194,0.482098,0.279984,0.657307,0.994861,0.993922,0.996081
complaint-heavy,2760000,full-refresh,0,16,1796156.458559,1765844.90862,1822325.179849,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,476.3125,467.25,484.1875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
complaint-heavy,2760000,stronger-but-stale,3,16,1772682.036146,1741329.432167,1801962.83666,23474.422413,18918.900979,27929.198265,0.013098,0.010709,0.016027,0.78314,0.775572,0.790847,0.20446,0.195884,0.213438,0.000577,0.0,0.001323,464.3125,454.996875,471.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complaint-heavy,2760000,weaker-but-fresh,0,16,1776381.342916,1754577.955104,1794094.630399,19775.115643,3953.279363,31759.472279,0.010574,0.002601,0.016272,0.60982,0.59154,0.630696,0.42991,0.403358,0.454951,0.0,0.0,0.0,436.1875,431.621875,440.815625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complaint-heavy,5480000,base-stale,0,16,3372714.920592,3326644.562691,3411064.965021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,905.3125,889.80625,918.482813,8.1e-05,3.8e-05,0.000131,0.0,0.0,0.0,1.0,1.0,1.0
complaint-heavy,5480000,base-stale,1,16,3349374.026748,3309171.783215,3383727.353333,23340.893844,18430.517321,28160.035645,0.006878,0.005558,0.00828,0.919599,0.914085,0.924329,0.087741,0.081721,0.094213,0.0,0.0,0.0,895.6875,879.029688,907.720312,0.028963,0.027758,0.030116,0.147574,-1.008698,0.796879,0.997932,0.997045,0.998772
complaint-heavy,5480000,base-stale,3,16,3347589.375366,3310533.567735,3377881.358645,25125.545227,19732.237332,29824.925158,0.007407,0.005916,0.00872,0.908264,0.903365,0.913881,0.09632,0.08824,0.103065,0.000285,6.9e-05,0.000582,895.1875,881.86875,906.914062,0.030769,0.029999,0.031382,0.588393,0.274091,0.815556,0.997693,0.996772,0.998588
