id,offerdate,total_spend_365d,total_qty_365d,num_visits_365d,days_since_last_purchase,spend_in_offer_category_365d,spend_in_offer_company_365d,spend_in_offer_brand_365d,qty_in_offer_category_365d,qty_in_offer_company_365d,qty_in_offer_brand_365d
256608452,2013-03-01,3945.34,1337.0,82,1,5.98,2.99,2.99,2.0,1.0,1.0
435316177,2013-03-01,434.89,323.0,19,11,2.56,1.57,1.57,2.0,1.0,1.0
435439426,2013-03-01,1289.51,435.0,49,13,4.98,0.0,0.0,2.0,0.0,0.0
436060096,2013-03-01,4860.1900000000005,2125.0,135,6,11.47,0.0,0.0,6.0,0.0,0.0
436689530,2013-03-01,2455.28,884.0,40,8,3.98,0.0,0.0,2.0,0.0,0.0
437024659,2013-03-01,2807.2,1114.0,51,7,10.34,0.0,0.0,5.0,0.0,0.0
437999403,2013-03-01,425.55,137.0,19,2,1.58,0.0,0.0,1.0,0.0,0.0
438159577,2013-03-01,2755.95,820.0,82,4,1.25,0.0,0.0,1.0,0.0,0.0
440440401,2013-03-01,833.6800000000001,384.0,22,10,1.39,0.0,0.0,1.0,0.0,0.0
440675170,2013-03-01,624.35,178.0,40,10,1.57,0.0,0.0,1.0,0.0,0.0
441163457,2013-03-01,2359.67,1230.0,114,10,7.37,0.0,0.0,5.0,0.0,0.0
441384279,2013-03-01,629.62,253.0,52,3,2.0,0.0,0.0,1.0,0.0,0.0
441396218,2013-03-01,880.62,392.0,54,2,4.1,1.29,1.29,2.0,1.0,1.0
441912715,2013-03-01,369.97,163.0,21,23,2.0,0.0,0.0,1.0,0.0,0.0
442261956,2013-03-01,1217.93,604.0,61,4,7.67,0.0,0.0,5.0,0.0,0.0
442410143,2013-03-01,760.53,329.0,61,10,6.09,0.0,0.0,2.0,0.0,0.0
443384535,2013-03-01,366.44,173.0,31,8,2.39,0.0,0.0,1.0,0.0,0.0
443423935,2013-03-01,3255.68,1127.0,61,1,2.99,0.0,0.0,1.0,0.0,0.0
443512078,2013-03-01,662.34,242.0,26,5,5.36,0.0,0.0,2.0,0.0,0.0
444093118,2013-03-01,168.36,68.0,9,3,0.0,0.0,0.0,0.0,0.0,0.0
444360313,2013-03-01,1007.81,541.0,35,4,1.99,1.99,1.99,1.0,1.0,1.0
